Timestamp,Experience in subtitling (in years),Experience in Machine Translation post-editing (in years),experience,What percentage of your subtitling jobs involves using master templates?,What percentage of your subtitling jobs involves working directly from the video?,What percentage of your subtitling jobs involves editing machine translated subtitles?,difficult/easy,unpleasant/pleasant,stressful/relaxed,laborious/effortless,slow/fast,inefficient/efficient,boring/exciting,tedious/fun,complicated/simple,annoying/enjoyable,limiting/creative,demotivating/motivating,impractical/practical,Automatic spotting was poor/good,Fixing the spotting took a lot of effort/was easy,Automatic segmentation was poor/good,Fixing the segmentation took a lot of effort/was easy,What were the main issues with the automatic translation?,What were the main issues with the automatic spotting?,What were the main issues with the automatic segmentation?,"In your opinion, what are the main benefits of using automatic subtitling?",Do you think automatic subtitling helps the work of subtitlers? ,Do you see any danger for the profession of the subtitler from using automatic subtitling?,How do you adjust the spotting (timecodes) of the subtitles in MateSub?
2021/12/14 1:56:44 PM GMT+1,2,3,Sometimes,0,100,100,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,Non-Spanish words out of context ,Background sounds mistakenly picked up as dialogue ,Missing context in the automatic segments ,"Speed/efficiency, segmenting ",Yes,"If applied correctly with respect to the work of subtitlers, no",Mouse only
2021/12/14 2:10:00 PM GMT+1,5,5,Never,20,40,40,1,1,-1,-1,-2,-1,0,1,1,1,2,-1,-1,0,-2,-1,1,tool responded unexpectedly. took considerable amount of time to learn how it worked.,tool responded unexpectedly.,no issues,faster and better alignment,"yes, a bit.","the work will be faster an more efficient, but there will be less work left.",Mouse and shortcuts
2021/12/14 2:15:48 PM GMT+1,1,1,Sometimes,80,40,60,2,1,0,-2,-1,3,1,-1,3,0,-2,0,2,2,1,-1,-1,It couldn't translate well idiomatic expressions and colloquial words.,It was't always very accurate.,Sometimes it didn't respect limits and guidelines.,It can help speeding up your work and making it less stressful. ,"Yes, of course it does. ","Not really, for how good they can be I don't think they could ever substitute the traslation of a professional subtitler.",Mouse only
2021/12/14 2:19:05 PM GMT+1,1,7,Often,0,0,99,-2,-2,-2,2,-2,0,0,0,2,0,0,0,2,0,2,0,2,"The accuracy depends on the accent of the locutor, the audio quality and can sometimes be misleading.",It's better than not having one.,It does not always match the segmentation needed for the target language.,It mainly saves time for the creation and the rough positioning of the segments.,"It depends on the quality of the source, understanding the content takes 90 % of the time.","Apparently 40 % of the jobs will disappear because of AI, so the danger exists.",Mouse only
2021/12/14 2:20:50 PM GMT+1,2,1,Never,60,80,20,1,1,2,1,1,1,0,0,2,0,0,-1,1,0,-1,1,0,"""applause"" ""laughter"" regularly identified incorrectly and mixed in with the rest of the sentence. I.e. instead of LAUGHS ""It's good to see you."" It would be more like ""It's good to see you laugh""","It seems largely reliable, but it's not always clear when it is inaccurate, could lead to less attention paid to spotting overall by the human subtitler.","Occasionally a long sentence is reduced into lot of unnecessary, very short segments which only adds more time to a task.","Time and efficiency, when it is working well.","It's hard to say, it may vary by translator/by software/type of media.",Not yet,Mouse only
2021/12/14 2:47:56 PM GMT+1,1,1,Rarely,0,50,100,-1,1,-1,-1,-2,-1,1,1,-1,1,2,1,-1,-2,-1,-2,-1,Very inconsistent,Inconsistent,Inconsistent,Saves some time,It might save some time but doesn't do a very good job of identifying speech that is less clear,I don't think the technology is sufficiently developed yet,Mouse only
2021/12/14 2:54:38 PM GMT+1,5,5,Rarely,90,10,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,The automatic translation is based on an automatic transcription of the audio and sometimes the translation is completely wrong because probably even the transcription of the source language is wrong. It would be necessary to add a step and correct the transcription of the source language before doing the automatic translation.,Pauses and shot changes are not taken into consideration.,Nothing to report.,It could be useful for creating master templates.,"As things currently stand, it could be useful for creating master templates only.",No.,Mouse and shortcuts
2021/12/14 3:18:23 PM GMT+1,1,1,Rarely,60,40,20,-1,2,-1,-2,-2,2,2,2,0,2,2,2,1,1,1,0,1,The main issue was that were some idioms in English that I had to look in dictionaries and had another translation. ,The main issue was that some subtitles started sooner or ended later.,The main problem was that some subtitles ended in preposition.,"In my opinion, the main benefit is that subtitlers save time in setting times.","Yeah, because with this program, there are subtitles that are perfect.","Yeah, the translation is more literal and loses naturalness in the target language.",Mouse only
2021/12/14 4:41:38 PM GMT+1,1,2,Never,50,0,50,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,1,1,Poor quality,Worked well,Worked well,Faster,Yes,"No, as long as an actual person gets to correct the subtitles",Mouse only
2021/12/14 5:07:41 PM GMT+1,1,1,Sometimes,50,0,100,1,2,1,2,1,1,2,2,2,2,2,2,2,-1,1,0,1,"Poor recognition of low-pitched/muffled voices and fast speech ==> nonsensical/wrong words that made the entire machine translation nonsensical
","Poor recognition of low-pitched/muffled voices ==> no machine translation at all
Accidental recognition of music and other sounds as speech",Length of the segments did not always match the required space to form meaningful sentences (either too short for too many characters or too long for too few characters),It usually makes the subtitling easier to have something to read while listening.,"Mostly yes, unless the quality of the automatic recognition gets too bad.","No. Human eyes on the project are a must-have, at least with the current quality of the automatic output.",Mouse only
